station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6
70564,2019-02-15,36.9677312586732,-122.137781808831,2019,1,560.0,560.0,72.0,72.0,3,0,2,1,-32767
70575,2019-02-15,36.9674584073008,-122.137447871205,2019,1,443.0,443.0,54.0,54.0,3,0,2,1,-32767
70724,2019-02-15,36.9638791909365,-122.128726273761,2019,1,403.0,403.0,48.0,48.0,3,0,2,1,-32767
70754,2019-02-15,36.9630605590327,-122.127724616184,2019,1,345.0,345.0,39.0,39.0,3,0,2,1,-32767
70878,2019-02-15,36.9592351882497,-122.122376597879,2019,1,244.0,244.0,27.0,27.0,4,0,3,1,-32767
70892,2019-02-15,36.9589622943626,-122.122042752605,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
70893,2019-02-15,36.9592326972868,-122.122039648035,2019,1,259.0,259.0,29.0,29.0,4,0,3,1,-32767
70907,2019-02-15,36.9586893995557,-122.121708909714,2019,1,244.0,244.0,27.0,27.0,4,0,3,1,-32767
70908,2019-02-15,36.9589598024682,-122.121705803994,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
70909,2019-02-15,36.9592302053681,-122.121702698232,2019,1,244.0,244.0,27.0,27.0,4,0,3,1,-32767
70911,2019-02-15,36.9597710111302,-122.121696486585,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
70923,2019-02-15,36.9586869067296,-122.121371962335,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
70924,2019-02-15,36.9589573096178,-122.121368855424,2019,1,288.0,288.0,34.0,34.0,4,0,3,1,-32767
70925,2019-02-15,36.9592277124933,-122.121365748471,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
70926,2019-02-15,36.9594981153564,-122.121362641477,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
70927,2019-02-15,36.9597685182068,-122.121359534441,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
70938,2019-02-15,36.9584140100713,-122.121038123058,2019,1,229.0,229.0,25.0,25.0,4,0,3,1,-32767
70940,2019-02-15,36.9589548158114,-122.121031906895,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
70941,2019-02-15,36.9592252186626,-122.121028798751,2019,1,361.0,361.0,45.0,45.0,4,0,3,1,-32767
70942,2019-02-15,36.9594956215013,-122.121025690566,2019,1,361.0,361.0,45.0,45.0,4,0,3,1,-32767
70953,2019-02-15,36.9586819182097,-122.120698067701,2019,1,244.0,244.0,27.0,27.0,4,0,3,1,-32767
70954,2019-02-15,36.9589523210491,-122.120694958408,2019,1,347.0,347.0,43.0,43.0,4,0,3,1,-32767
70955,2019-02-15,36.959222723876,-122.120691849073,2019,1,332.0,332.0,41.0,41.0,4,0,3,1,-32767
70956,2019-02-15,36.9594931266903,-122.120688739696,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
70966,2019-02-15,36.9584090196881,-122.12036423089,2019,1,259.0,259.0,29.0,29.0,4,0,3,1,-32767
70967,2019-02-15,36.9586794225158,-122.120361120447,2019,1,361.0,361.0,45.0,45.0,4,0,3,1,-32767
70968,2019-02-15,36.9589498253308,-122.120358009962,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
70969,2019-02-15,36.9592202281334,-122.120354899436,2019,1,649.0,375.0,79.0,46.0,4,0,3,1,-32767
70972,2019-02-15,36.9600314364654,-122.120345567609,2019,1,332.0,332.0,41.0,41.0,4,0,3,1,-32767
70977,2019-02-15,36.9581361202468,-122.120030396461,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
70978,2019-02-15,36.9584065230627,-122.120027284868,2019,1,811.0,471.0,104.0,60.0,4,0,3,1,-32767
70979,2019-02-15,36.958676925866,-122.120024173234,2019,1,361.0,361.0,45.0,45.0,4,0,3,1,-32767
70980,2019-02-15,36.9589473286566,-122.120021061558,2019,1,347.0,347.0,43.0,43.0,4,0,3,1,-32767
70981,2019-02-15,36.9592177314348,-122.120017949841,2019,1,332.0,332.0,41.0,41.0,4,0,3,1,-32767
70982,2019-02-15,36.9594881342003,-122.120014838082,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
70983,2019-02-15,36.9597585369533,-122.120011726282,2019,1,693.0,403.0,86.0,50.0,4,0,3,1,-32767
70984,2019-02-15,36.9600289396937,-122.12000861444,2019,1,450.0,450.0,59.0,59.0,4,0,3,1,-32767
70985,2019-02-15,36.9602993424216,-122.120005502557,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
70988,2019-02-15,36.9581336226898,-122.119693451671,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
70989,2019-02-15,36.9584040254813,-122.119690338888,2019,1,347.0,347.0,43.0,43.0,4,0,3,1,-32767
70992,2019-02-15,36.9592152337802,-122.119681000287,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
70993,2019-02-15,36.9594856365214,-122.119677887337,2019,1,332.0,332.0,41.0,41.0,4,0,3,1,-32767
70994,2019-02-15,36.95975603925,-122.119674774346,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
70995,2019-02-15,36.960026441966,-122.119671661313,2019,1,435.0,435.0,56.0,56.0,4,0,3,1,-32767
70996,2019-02-15,36.9602968446695,-122.119668548238,2019,1,347.0,347.0,43.0,43.0,4,0,3,1,-32767
71000,2019-02-15,36.9581311241769,-122.119356506923,2019,1,244.0,244.0,27.0,27.0,4,0,3,1,-32767
71001,2019-02-15,36.9584015269439,-122.119353392949,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
71005,2019-02-15,36.9594831378865,-122.119340936634,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
71008,2019-02-15,36.9602943459614,-122.119331593961,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
71012,2019-02-15,36.9583990274506,-122.119016447051,2019,1,244.0,244.0,27.0,27.0,4,0,3,1,-32767
71013,2019-02-15,36.9586694301808,-122.119013331844,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
71022,2019-02-15,36.9583965270014,-122.118679501195,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
71023,2019-02-15,36.9586669297071,-122.118676384797,2019,1,259.0,259.0,29.0,29.0,4,0,3,1,-32767
71031,2019-02-15,36.9583940255963,-122.118342555381,2019,1,230.0,230.0,27.0,27.0,5,0,3,2,-32767
71032,2019-02-15,36.9586644282775,-122.118339437792,2019,1,347.0,347.0,43.0,43.0,4,0,3,1,-32767
71041,2019-02-15,36.9583915232352,-122.118005609609,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
71042,2019-02-15,36.9586619258921,-122.118002490828,2019,1,288.0,288.0,34.0,34.0,4,0,3,1,-32767
71069,2019-02-15,36.9583840104164,-122.116994772541,2019,1,244.0,244.0,27.0,27.0,4,0,3,1,-32767
71070,2019-02-15,36.9586544129999,-122.116991650187,2019,1,259.0,259.0,29.0,29.0,4,0,3,1,-32767
71108,2019-02-15,36.9578331749327,-122.115653244478,2019,1,361.0,361.0,45.0,45.0,4,0,3,1,-32767
71109,2019-02-15,36.9581035774435,-122.115650117443,2019,1,391.0,391.0,50.0,50.0,4,0,3,1,-32767
71134,2019-02-15,36.9580960446236,-122.114639284824,2019,1,649.0,384.0,79.0,47.0,4,0,3,1,-32767
71146,2019-02-15,36.9578231293592,-122.1143054725,2019,1,332.0,332.0,41.0,41.0,4,0,3,1,-32767
71147,2019-02-15,36.9580935317718,-122.114302340701,2019,1,288.0,288.0,34.0,34.0,4,0,3,1,-32767
71156,2019-02-15,36.9572798107621,-122.113974795464,2019,1,391.0,391.0,50.0,50.0,4,0,3,1,-32767
71157,2019-02-15,36.9575502131754,-122.113971662558,2019,1,708.0,417.0,88.0,52.0,4,0,3,1,-32767
71158,2019-02-15,36.957820615576,-122.11396852961,2019,1,332.0,332.0,41.0,41.0,4,0,3,1,-32767
71166,2019-02-15,36.9575476984608,-122.113634720901,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
71170,2019-02-15,36.9564635732585,-122.113310320188,2019,1,345.0,345.0,39.0,39.0,3,0,2,1,-32767
71279,2019-02-15,36.9539895754719,-122.107947722335,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
71286,2019-02-15,36.9537166417639,-122.107613951903,2019,1,649.0,380.0,79.0,46.0,4,0,3,1,-32767
71287,2019-02-15,36.9539870438725,-122.107610796915,2019,1,679.0,406.0,83.0,51.0,4,0,3,1,-32767
71293,2019-02-15,36.9537141092334,-122.107277027716,2019,1,693.0,425.0,86.0,54.0,4,0,3,1,-32767
71294,2019-02-15,36.9539845113174,-122.107273871537,2019,1,737.0,439.0,92.0,56.0,4,0,3,1,-32767
71295,2019-02-15,36.9542549133887,-122.107270715316,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
71299,2019-02-15,36.9537115757473,-122.106940103571,2019,1,635.0,367.0,77.0,44.0,4,0,3,1,-32767
71300,2019-02-15,36.9539819778065,-122.106936946201,2019,1,590.0,343.0,70.0,41.0,4,0,3,1,-32767
71654,2019-02-15,36.9517114988437,-122.09281177819,2019,1,230.0,230.0,27.0,27.0,5,0,3,2,-32767
71655,2019-02-15,36.9519818999437,-122.092808571107,2019,1,376.0,376.0,47.0,47.0,4,0,3,1,-32767
71656,2019-02-15,36.9522523010311,-122.092805363981,2019,1,361.0,361.0,45.0,45.0,4,0,3,1,-32767
71666,2019-02-15,36.951708924436,-122.092474864206,2019,1,376.0,376.0,47.0,47.0,4,0,3,1,-32767
71667,2019-02-15,36.9519793255109,-122.092471655932,2019,1,479.0,479.0,63.0,63.0,4,0,3,1,-32767
71668,2019-02-15,36.9522497265732,-122.092468447616,2019,1,391.0,391.0,50.0,50.0,4,0,3,1,-32767
71678,2019-02-15,36.9517063490727,-122.092137950264,2019,1,405.0,405.0,52.0,52.0,4,0,3,1,-32767
71679,2019-02-15,36.9519767501224,-122.0921347408,2019,1,332.0,332.0,41.0,41.0,4,0,3,1,-32767
71689,2019-02-15,36.9514333717165,-122.091804246978,2019,1,420.0,420.0,54.0,54.0,4,0,3,1,-32767
71690,2019-02-15,36.9517037727537,-122.091801036366,2019,1,435.0,435.0,56.0,56.0,4,0,3,1,-32767
71721,2019-02-15,36.9516960380625,-122.090790294926,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
71918,2019-02-15,36.950539224963,-122.081032808902,2019,1,219.0,219.0,25.0,25.0,5,0,3,2,-32767
72005,2019-02-15,36.9483289402759,-122.074994635223,2019,1,172.0,172.0,20.0,20.0,6,0,4,2,-32767
72006,2019-02-15,36.948599340182,-122.07499136556,2019,1,202.0,202.0,24.0,24.0,6,0,4,2,-32767
72015,2019-02-15,36.9485967154057,-122.074654466962,2019,1,221.0,221.0,27.0,27.0,6,0,4,2,-32767
72071,2019-02-15,36.9474993476994,-122.072646188016,2019,1,273.0,273.0,32.0,32.0,4,0,3,1,-32767
72080,2019-02-15,36.947496716337,-122.072309294486,2019,1,288.0,288.0,34.0,34.0,4,0,3,1,-32767
72089,2019-02-15,36.9472236842935,-122.071975681202,2019,1,361.0,361.0,45.0,45.0,4,0,3,1,-32767
72098,2019-02-15,36.9469506513334,-122.071642070298,2019,1,413.0,264.0,50.0,32.0,6,0,4,2,-32767
72099,2019-02-15,36.9472210510458,-122.071638788949,2019,1,260.0,260.0,33.0,33.0,6,0,4,2,-32767
72108,2019-02-15,36.9469480171558,-122.07130517928,2019,1,241.0,241.0,30.0,30.0,6,0,4,2,-32767
72109,2019-02-15,36.9472184168425,-122.071301896741,2019,1,251.0,251.0,32.0,32.0,6,0,4,2,-32767
72119,2019-02-15,36.9469453820227,-122.070968288305,2019,1,212.0,212.0,26.0,26.0,6,0,4,2,-32767
72120,2019-02-15,36.9472157816837,-122.070965004576,2019,1,266.0,266.0,32.0,32.0,5,0,4,1,-32767
72128,2019-02-15,36.9466723462864,-122.070634682251,2019,1,202.0,202.0,24.0,24.0,6,0,4,2,-32767
72129,2019-02-15,36.9469427459342,-122.070631397375,2019,1,277.0,277.0,34.0,34.0,5,0,4,1,-32767
72130,2019-02-15,36.9472131455694,-122.070628112455,2019,1,277.0,277.0,34.0,34.0,5,0,4,1,-32767
72138,2019-02-15,36.9466697092681,-122.070297792554,2019,1,192.0,192.0,23.0,23.0,6,0,4,2,-32767
72139,2019-02-15,36.9469401088901,-122.070294506488,2019,1,280.0,280.0,36.0,36.0,6,0,4,2,-32767
72140,2019-02-15,36.9472105084996,-122.070291220378,2019,1,289.0,289.0,36.0,36.0,5,0,4,1,-32767
72150,2019-02-15,36.9469374708906,-122.069957615645,2019,1,433.0,282.0,53.0,35.0,6,0,4,2,-32767
72151,2019-02-15,36.9472078704743,-122.069954328345,2019,1,266.0,266.0,32.0,32.0,5,0,4,1,-32767
72160,2019-02-15,36.9469348319355,-122.069620724846,2019,1,202.0,202.0,24.0,24.0,6,0,4,2,-32767
72277,2019-02-15,36.9463569878076,-122.064910868452,2019,1,242.0,242.0,29.0,29.0,5,0,3,2,-32767
72288,2019-02-15,36.946354334572,-122.064573980694,2019,1,266.0,266.0,32.0,32.0,5,0,3,2,-32767
72301,2019-02-15,36.9466220795505,-122.064233785531,2019,1,242.0,242.0,29.0,29.0,5,0,3,2,-32767
72302,2019-02-15,36.9468924787075,-122.064230478039,2019,1,212.0,212.0,26.0,26.0,6,0,4,2,-32767
72314,2019-02-15,36.946619424378,-122.06389689667,2019,1,230.0,230.0,27.0,27.0,5,0,3,2,-32767
72327,2019-02-15,36.94661676825,-122.063560007854,2019,1,230.0,230.0,27.0,27.0,5,0,3,2,-32767
72363,2019-02-15,36.9468791931605,-122.062546028226,2019,1,242.0,242.0,29.0,29.0,5,0,3,2,-32767
72477,2019-02-15,36.9468391931964,-122.057492685426,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
72478,2019-02-15,36.9471095918205,-122.057489354083,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
72489,2019-02-15,36.9471069174863,-122.057152463728,2019,1,649.0,380.0,79.0,46.0,4,0,3,1,-32767
72490,2019-02-15,36.9473773160718,-122.05714913115,2019,1,254.0,254.0,31.0,31.0,5,0,4,1,-32767
72511,2019-02-15,36.9465607688471,-122.056485352934,2019,1,230.0,230.0,27.0,27.0,5,0,3,2,-32767
72522,2019-02-15,36.9465580916986,-122.056148465092,2019,1,289.0,289.0,36.0,36.0,5,0,3,2,-32767
72523,2019-02-15,36.9468284902309,-122.056145129033,2019,1,288.0,288.0,34.0,34.0,4,0,3,1,-32767
72525,2019-02-15,36.9473692872576,-122.05613845678,2019,1,289.0,289.0,36.0,36.0,5,0,4,1,-32767
72534,2019-02-15,36.9468258121009,-122.055808240046,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
72535,2019-02-15,36.9470962105944,-122.055804902751,2019,1,242.0,242.0,29.0,29.0,5,0,4,1,-32767
72536,2019-02-15,36.9473666090753,-122.055801565412,2019,1,254.0,254.0,31.0,31.0,5,0,4,1,-32767
72546,2019-02-15,36.9468231330153,-122.055471351103,2019,1,242.0,242.0,29.0,29.0,5,0,3,2,-32767
72547,2019-02-15,36.9470935314827,-122.055468012618,2019,1,313.0,313.0,40.0,40.0,5,0,4,1,-32767
72548,2019-02-15,36.9473639299374,-122.055464674089,2019,1,301.0,301.0,38.0,38.0,5,0,4,1,-32767
72557,2019-02-15,36.9465500545205,-122.055137801836,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
72558,2019-02-15,36.9468204529743,-122.055134462205,2019,1,289.0,289.0,36.0,36.0,5,0,3,2,-32767
72559,2019-02-15,36.9470908514155,-122.05513112253,2019,1,242.0,242.0,29.0,29.0,5,0,4,1,-32767
72569,2019-02-15,36.9468177719778,-122.054797573352,2019,1,212.0,212.0,26.0,26.0,6,0,4,2,-32767
72570,2019-02-15,36.9470881703928,-122.054794232486,2019,1,212.0,212.0,26.0,26.0,6,0,4,2,-32767
72651,2019-02-15,36.9467962896085,-122.052102464131,2019,1,230.0,230.0,27.0,27.0,5,0,4,1,-32767
72674,2019-02-15,36.9476021038819,-122.051418628832,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
72680,2019-02-15,36.9465178198156,-122.051095152825,2019,1,219.0,219.0,25.0,25.0,5,0,4,1,-32767
72699,2019-02-15,36.9465124339883,-122.050421378615,2019,1,182.0,182.0,21.0,21.0,6,0,4,2,-32767
72703,2019-02-15,36.9475940262586,-122.050407953167,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
73114,2019-02-15,36.9493454240892,-122.032865709827,2019,1,288.0,288.0,34.0,34.0,4,0,3,1,-32767
73125,2019-02-15,36.949342679764,-122.032528812046,2019,1,303.0,303.0,36.0,36.0,4,0,3,1,-32767
73136,2019-02-15,36.9493399344833,-122.032191914311,2019,1,288.0,288.0,34.0,34.0,4,0,3,1,-32767
73146,2019-02-15,36.9490667917474,-122.031858438839,2019,1,332.0,332.0,41.0,41.0,4,0,3,1,-32767
73157,2019-02-15,36.9487936480969,-122.031524965747,2019,1,482.0,482.0,60.0,60.0,3,0,2,1,-32767
73158,2019-02-15,36.9490640445824,-122.031521542385,2019,1,317.0,317.0,38.0,38.0,4,0,3,1,-32767
73170,2019-02-15,36.9487909000032,-122.031188070529,2019,1,361.0,361.0,45.0,45.0,4,0,3,1,-32767
73333,2019-02-15,36.9519777191934,-122.024071883909,2019,1,605.0,605.0,72.0,72.0,2,0,1,1,-32767
73334,2019-02-15,36.952248114935,-122.024068433806,2019,1,635.0,635.0,77.0,77.0,2,0,1,1,-32767
73335,2019-02-15,36.952518510664,-122.024064983658,2019,1,664.0,664.0,81.0,81.0,2,0,1,1,-32767
73358,2019-02-15,36.9506229709917,-122.023752231189,2019,1,423.0,423.0,51.0,51.0,3,0,2,1,-32767
73359,2019-02-15,36.9508933667693,-122.023748780126,2019,1,944.0,508.0,117.0,65.0,3,0,2,1,-32767
73360,2019-02-15,36.9511637625344,-122.023745329017,2019,1,1042.0,587.0,132.0,78.0,3,0,2,1,-32767
73361,2019-02-15,36.9514341582868,-122.023741877863,2019,1,521.0,521.0,66.0,66.0,3,0,2,1,-32767
73362,2019-02-15,36.9517045540267,-122.023738426662,2019,1,811.0,811.0,104.0,103.0,2,0,1,1,-32767
73363,2019-02-15,36.9519749497538,-122.023734975415,2019,1,664.0,664.0,81.0,81.0,2,0,1,1,-32767
73386,2019-02-15,36.9511609922203,-122.023408424141,2019,1,521.0,521.0,66.0,66.0,3,0,2,1,-32767
73387,2019-02-15,36.9514313879457,-122.023404971796,2019,1,521.0,521.0,66.0,66.0,3,0,2,1,-32767
73388,2019-02-15,36.9517017836585,-122.023401519404,2019,1,693.0,693.0,86.0,85.0,2,0,1,1,-32767
73702,2019-02-15,36.9488999693432,-121.979636436697,2019,1,364.0,364.0,42.0,42.0,3,0,1,2,-32767
73716,2019-02-15,36.9488970740469,-121.979299546323,2019,1,924.0,482.0,114.0,61.0,3,0,1,2,-32767
73717,2019-02-15,36.9491674662371,-121.979295938361,2019,1,826.0,430.0,99.0,53.0,3,0,1,2,-32767
73718,2019-02-15,36.9494378584146,-121.979292330351,2019,1,384.0,384.0,45.0,45.0,3,0,1,2,-32767
73721,2019-02-15,36.9502490348713,-121.979281506031,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73722,2019-02-15,36.9505194269982,-121.979277897828,2019,1,288.0,288.0,34.0,34.0,4,0,2,2,-32767
73732,2019-02-15,36.9488941777952,-121.978962655998,2019,1,541.0,541.0,69.0,69.0,3,0,1,2,-32767
73733,2019-02-15,36.949164569957,-121.978959046845,2019,1,924.0,492.0,114.0,63.0,3,0,1,2,-32767
73734,2019-02-15,36.9494349621063,-121.978955437644,2019,1,807.0,409.0,96.0,49.0,3,0,1,2,-32767
73735,2019-02-15,36.9497053542429,-121.978951828396,2019,1,384.0,384.0,45.0,45.0,3,0,1,2,-32767
73737,2019-02-15,36.9502461384781,-121.978944609753,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73743,2019-02-15,36.9518684908805,-121.978922952671,2019,1,317.0,317.0,38.0,38.0,4,0,2,2,-32767
73751,2019-02-15,36.9491616727215,-121.978622155377,2019,1,423.0,423.0,51.0,51.0,3,0,1,2,-32767
73752,2019-02-15,36.9494320648425,-121.978618544986,2019,1,443.0,443.0,54.0,54.0,3,0,1,2,-32767
73753,2019-02-15,36.9497024569508,-121.978614934547,2019,1,501.0,501.0,63.0,63.0,3,0,1,2,-32767
73754,2019-02-15,36.9499728490464,-121.97861132406,2019,1,866.0,486.0,105.0,62.0,3,0,1,2,-32767
73755,2019-02-15,36.9502432411295,-121.978607713524,2019,1,317.0,317.0,38.0,38.0,4,0,2,2,-32767
73757,2019-02-15,36.9507840252576,-121.978600492308,2019,1,317.0,317.0,38.0,38.0,4,0,2,2,-32767
73761,2019-02-15,36.9518655933621,-121.978586049299,2019,1,361.0,361.0,45.0,45.0,4,0,2,2,-32767
73762,2019-02-15,36.9521359853566,-121.978582438426,2019,1,347.0,347.0,43.0,43.0,4,0,2,2,-32767
73772,2019-02-15,36.9496995587032,-121.978278040747,2019,1,501.0,501.0,63.0,63.0,3,0,1,2,-32767
73773,2019-02-15,36.9499699507705,-121.978274429069,2019,1,560.0,560.0,72.0,72.0,3,0,1,2,-32767
73774,2019-02-15,36.9502403428253,-121.978270817343,2019,1,361.0,361.0,45.0,45.0,4,0,2,2,-32767
73775,2019-02-15,36.9505107348673,-121.978267205569,2019,1,605.0,353.0,72.0,42.0,4,0,2,2,-32767
73776,2019-02-15,36.9507811268968,-121.978263593746,2019,1,361.0,361.0,45.0,45.0,4,0,2,2,-32767
73777,2019-02-15,36.9510515189136,-121.978259981876,2019,1,405.0,405.0,52.0,52.0,4,0,2,2,-32767
73778,2019-02-15,36.9513219109177,-121.978256369957,2019,1,391.0,391.0,50.0,50.0,4,0,2,2,-32767
73780,2019-02-15,36.9518626948881,-121.978249145975,2019,1,361.0,361.0,45.0,45.0,4,0,2,2,-32767
73781,2019-02-15,36.9521330868543,-121.978245533912,2019,1,347.0,347.0,43.0,43.0,4,0,2,2,-32767
73793,2019-02-15,36.9499670515391,-121.977937534126,2019,1,317.0,317.0,38.0,38.0,4,0,2,2,-32767
73794,2019-02-15,36.9502374435655,-121.97793392121,2019,1,693.0,418.0,86.0,53.0,4,0,2,2,-32767
73795,2019-02-15,36.9505078355793,-121.977930308245,2019,1,376.0,376.0,47.0,47.0,4,0,2,2,-32767
73796,2019-02-15,36.9507782275805,-121.977926695232,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73797,2019-02-15,36.9510486195689,-121.977923082171,2019,1,317.0,317.0,38.0,38.0,4,0,2,2,-32767
73798,2019-02-15,36.9513190115448,-121.977919469062,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73799,2019-02-15,36.951589403508,-121.977915855905,2019,1,347.0,347.0,43.0,43.0,4,0,2,2,-32767
73800,2019-02-15,36.9518597954585,-121.977912242699,2019,1,376.0,376.0,47.0,47.0,4,0,2,2,-32767
73801,2019-02-15,36.9521301873964,-121.977908629445,2019,1,391.0,391.0,50.0,50.0,4,0,2,2,-32767
73802,2019-02-15,36.9524005793217,-121.977905016143,2019,1,288.0,288.0,34.0,34.0,4,0,2,2,-32767
73817,2019-02-15,36.9480714070114,-121.977625936629,2019,1,376.0,376.0,47.0,47.0,4,0,2,2,-32767
73820,2019-02-15,36.9502345433503,-121.977597025125,2019,1,664.0,409.0,81.0,52.0,4,0,2,2,-32767
73821,2019-02-15,36.9505049353358,-121.97759341097,2019,1,435.0,435.0,56.0,56.0,4,0,2,2,-32767
73822,2019-02-15,36.9507753273086,-121.977589796767,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73824,2019-02-15,36.9513161112163,-121.977582568216,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73825,2019-02-15,36.9515865031512,-121.977578953868,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73826,2019-02-15,36.9518568950734,-121.977575339472,2019,1,347.0,347.0,43.0,43.0,4,0,2,2,-32767
73848,2019-02-15,36.9480685060673,-121.977289050115,2019,1,361.0,361.0,45.0,45.0,4,0,2,2,-32767
73849,2019-02-15,36.9483388981255,-121.977285435156,2019,1,420.0,420.0,54.0,54.0,4,0,2,2,-32767
73850,2019-02-15,36.9486092901712,-121.977281820148,2019,1,599.0,599.0,78.0,78.0,3,0,1,2,-32767
73854,2019-02-15,36.9505020341367,-121.977256513743,2019,1,552.0,552.0,74.0,74.0,4,0,2,2,-32767
73855,2019-02-15,36.9507724260812,-121.977252898349,2019,1,479.0,479.0,63.0,63.0,4,0,2,2,-32767
73856,2019-02-15,36.951042818013,-121.977249282908,2019,1,420.0,420.0,54.0,54.0,4,0,2,2,-32767
73857,2019-02-15,36.9513132099322,-121.977245667417,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73859,2019-02-15,36.9518539937327,-121.977238436292,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73860,2019-02-15,36.952124385614,-121.977234820658,2019,1,317.0,317.0,38.0,38.0,4,0,2,2,-32767
73861,2019-02-15,36.9523947774826,-121.977231204975,2019,1,303.0,303.0,36.0,36.0,4,0,2,2,-32767
73862,2019-02-15,36.9526651693386,-121.977227589243,2019,1,332.0,332.0,41.0,41.0,4,0,2,2,-32767
73887,2019-02-15,36.9483359961976,-121.9769485475,2019,1,332.0,332.0,41.0,41.0,4,0,2,2,-32767
73888,2019-02-15,36.9486063882149,-121.976944931302,2019,1,521.0,521.0,66.0,66.0,3,0,1,2,-32767
